id,created_at,text
976537485613379585,2018-03-21 19:14:14,It is not in the stars to hold our destiny but in this glowing orb I found in a swamp.
976220444343881734,2018-03-20 22:14:25,"Final performances of ALL HAIL start April 13! Don't miss your last chance to see this high energy, stand-alone sto… https://t.co/BWMRmYKIc5"
976112311638417410,2018-03-20 15:04:45,@GothiiKitty You should contact @topatoco here: https://t.co/HBk4Uw89uq
975869528520445952,2018-03-19 23:00:01,Sleep like there's nobody watching.
975816698984042496,2018-03-19 19:30:05,RT @NVPresents: Don't miss I Only Listen to the @mountain_goats LIVE in Chicago. One night only on May 30th at Thalia Hall. Tickets on sale…
974699477922668544,2018-03-16 17:30:39,"A bird in the hand is worth two dollars, approximately. Birds are the new currency."
974374684316741632,2018-03-15 20:00:02,"Your sock drawer isn't just for spiders.
https://t.co/alNfm0NWxv https://t.co/zDmkfdYSwB"
974323978893488129,2018-03-15 16:38:33,"@kanakitten We'd suggest contacting @PodcastAddict for further help, as the feed is working correctly in other apps."
974321579390853121,2018-03-15 16:29:01,@kanakitten We don't see an issue with the feed. What app are you using to access it?
974284092819886081,2018-03-15 14:00:03,"Today: the first part of a brand new story arc, ""A Door Ajar,"" co-written with @briezillionaire. There's been a dro… https://t.co/oEoEyWLJGp"
974042236253032454,2018-03-14 21:59:00,Final performances of ALL HAIL start in less than a month! Don't miss your chance to see this thrilling mystery abo… https://t.co/8MU7D7EBYy
973923154249863175,2018-03-14 14:05:49,RT @NVPresents: Tune in to the world premiere of Pounded in the Butt by My Own Podcast with @ChuckTingle! Featuring celebrity guest @CecilB…
973628410718294017,2018-03-13 18:34:36,"Don't look a gift horse in the chelicera. For one thing, that's not a horse."
973279583465336837,2018-03-12 19:28:30,Want to help support Welcome to Night Vale? Become a member today to help us keep making the show and get cool stuf… https://t.co/28M4sohaB3
972190160975777792,2018-03-09 19:19:31,"""Write what you know"" is only half the saying. The other half is: ""so know interesting things."""
971762754108444672,2018-03-08 15:01:09,"RT @NVPresents: This week on I Only Listen to the @mountain_goats: Bible translations, conspiracy theories, and the power of silence. Robbi…"
971466049911771137,2018-03-07 19:22:09,Be the cryptid you want to see in the world.
971128285697470464,2018-03-06 21:00:00,"Final ALL HAIL shows this April in the US and Canada! See us in Vancouver, Calgary, Winnipeg, Boise, Spokane, Eugen… https://t.co/ThHZtLXjOw"
971117326681681920,2018-03-06 20:16:27,@Rosaria_01 Here's a link to the episode on Soundcloud: https://t.co/HrE5AOsn45
970743785780019200,2018-03-05 19:32:08,"One for the money, two for the show, three for the buried statue of a forgotten god who died a long, long time ago"
969663638419079168,2018-03-02 20:00:01,"If you're happy and you know it, shirts and tanks:
https://t.co/YrYZE5PWkh https://t.co/dx3BAVTyC1"
969603428833005569,2018-03-02 16:00:46,RT @NVPresents: Tickets on sale now for the first ever I Only Listen to the @mountain_goats live show! Come see Joseph and John in Chicago…
969280042588045312,2018-03-01 18:35:45,RT @NightValeRadio: Tonight's full moon has been brought to you by Pepsi. Pepsi: We Created the Moon and We Will Eventually Destroy It.
969225953091182592,2018-03-01 15:00:49,"Our latest three episode arc, A Story of Love and Horror, concludes today with Part 3: ""Frances."" Listen: https://t.co/GOdkedY0AV"
968911950280380416,2018-02-28 18:13:05,"RT @NVPresents: Hear @CecilBaldwinIII, @MaraWilson, and @thedaneterry in the official trailer for Pounded in the Butt for My Own Podcast wi…"
968607275484176390,2018-02-27 22:02:24,"We're doing a workshop performance of our brand new, yet-to-be-titled 2018-19 touring live show in the Hudson Valle… https://t.co/frRu272fW4"
968503016411287553,2018-02-27 15:08:07,"Just 31 hours left to get a pair of sweatpants that say ""creepy"" on the butt. https://t.co/2SFRmW1abK"
968187984867659776,2018-02-26 18:16:18,"Better the devil you know, than the one you don't. He's a p cool devil. He has a playstation &amp; likes good beer. No… https://t.co/eFDJDK5ObJ"
967115699545169920,2018-02-23 19:15:25,Poll: Where is the spider now?
967067127059505153,2018-02-23 16:02:24,We're discontinuing our Scary Deer shirt! Get one today if you want to wear a scary deer on your torso.… https://t.co/dK1uDrjmqv
967054201355456518,2018-02-23 15:11:03,"@ariellebeery Yes, we hope to have them back in stock in a few months."
966689075313954818,2018-02-22 15:00:10,"RT @NVPresents: This week, we learn the origin of the phrase ""I only listen to the @mountain_goats."" Plus, @andrewbird joins to talk about…"
966412576752979968,2018-02-21 20:41:28,Don't miss your last chance to see ALL HAIL this April! Tickets available now: https://t.co/DaXIZobaLG https://t.co/MwwnygzH5X
966341758501171200,2018-02-21 16:00:03,"He's got the whole world in His hands. Are those distant peaks, or His fingers, slowly closing in?"
965652241599418369,2018-02-19 18:20:10,RT @NightValeRadio: I'm a little teapot/short and stout/here are my pincers/here are some more pincers/here is a barbed tail/three sets of…
