favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
96,Instagram,Yes I Found Taylor From TaylorGang http://t.co/2GC2j8rA,,False,Sun Oct 30 22:32:59 +0000 2011,251,130774223902879744
172,Twitter for iPhone,"Cuz You Know Life Is What You Make It, And A Chance Is Like A Picture It Be Nice If You Just Take It....",,False,Sun Nov 06 08:20:58 +0000 2011,674,133096523570479104
34,Twitter for iPhone,Ayy @wizardcud It's Happened Again,,False,Sat Oct 01 21:16:56 +0000 2011,81,120245838030188544
324,Twitter Web Client,Why Isn't #NewYearsSong Trending 5........4.......3......2....1,,False,Tue Jan 03 22:06:56 +0000 2012,1454,154322879595548672
44,Twitter for iPhone,Dawg I Love You @bneswag,Brett3vans,False,Mon Jul 11 04:49:22 +0000 2011,119,90281505103945728
43,Twitter Web Client,@officialmateo Is A Beast,OfficialMateo,False,Mon Aug 15 20:45:32 +0000 2011,113,103205706320187393
166,Twitter for iPhone,Merry 4th Of July,,False,Sun Jan 01 03:36:46 +0000 2012,510,153318720914202624
103,Twitter Web Client,#prayforjapan,,False,Fri Mar 11 08:28:26 +0000 2011,1187,46125313331183616
34,Twitter Web Client,@jadenswagg Ummmm im hurt,,False,Fri Mar 11 02:29:21 +0000 2011,83,46034947659673600
230,Twitter for iPhone,Why........Like Really......Like...Ugghh #Swag,,False,Wed Oct 26 01:12:10 +0000 2011,571,129002345261563904
82,Twitter Web Client,Nick Cannon..............I See You #DoYouBooBoo,,False,Thu Sep 29 06:20:50 +0000 2011,222,119295552667131904
220,Twitter Web Client,5,,False,Tue Jan 17 07:10:06 +0000 2012,975,159170616019259392
286,Camera on iOS,Disney World Swag http://t.co/vTMTcFeg,,False,Sat Dec 03 15:03:37 +0000 2011,731,142982321413431297
165,Twitter for iPhone,I'm Not Ready To Leave It's Scary To Die. I Rather Be Carried Inside The Cemetery And Buried Live.,,False,Tue May 24 01:11:47 +0000 2011,514,72832128668274688
342,Twitter for iPhone,I Wana Thank Everybody For The Happy Birthday Tweets #LoveMyFans,,False,Fri Jul 08 04:14:41 +0000 2011,1725,89185611621212160
47,Twitter for iPhone,Wow I Just Left The Studio @wizardcud #YourMaHommie,,False,Thu Sep 22 07:38:45 +0000 2011,160,116778444301402112
405,TweetDeck,We're taking ALL HAIL to New Zealand and Australia in less than a month! Plus a special performance of GHOST STORIE… https://t.co/hSzKiIZYCO,,False,Thu Jan 04 01:00:01 +0000 2018,16,948720638297911296
49,Twitter for iPhone,Evolution,,False,Thu Oct 20 21:39:39 +0000 2011,253,127136922354204673
282,Twitter Web Client,Just Watched Up And Cried Haha No I'm Just Kidding....... #NoImNot,,False,Mon Jun 27 20:45:29 +0000 2011,871,85448689300152320
218,Camera on iOS,Wana Get #Ripped Eat That #RealGs http://t.co/HDUS1dLS,,False,Tue Nov 22 20:20:56 +0000 2011,258,139075911789182976
501,Twitter Web Client,OMG DID I JUST TWEET A FAKE WILLOW,,False,Sat Mar 12 13:59:18 +0000 2011,1689,46570967656435712
142,Twitter Web Client,"A Tornado Flew Around My Room, Before You Came, Excuse, The Mess It Made, It Us-ually, Doesn't Rain.. #ThinkinBoutYou",,False,Wed Oct 26 07:53:24 +0000 2011,548,129103319766544384
91,Twitter for iPhone,I'm Getting On A Plane Now But Keep #ThinkinBoutYou Trending Like #RealGs,,False,Fri Nov 18 23:50:00 +0000 2011,419,137678975001575424
42,Twitter Web Client,"""@UsherMJBelieber Did someone call me?"" Sorry That Was Me",HowDoYouLove,False,Sun Aug 14 03:50:59 +0000 2011,116,102587998578802689
171,Twitter for iPhone,I'm Not Calling You.... Having Trust Issues With Marvin In His Room,,False,Sun Jul 10 07:45:54 +0000 2011,644,89963542861725696
187,Twitter for iPhone,"Yes We Just Hit 1,400,000 #Jadenators  I Love My Fans #ThankYou",,False,Wed Nov 30 04:11:57 +0000 2011,638,141731163944386560
82,Twitter for iPhone,I Just Came To Say Hello,,False,Sun Oct 09 20:18:43 +0000 2011,477,123130289278042112
55,Twitter for iPhone,#Mw3 I Need A Kill Streak Haha @OfficialTrey,,False,Tue Nov 22 05:38:47 +0000 2011,121,138853915608354817
264,Twitter for iPhone,EveryBody Go Get @selenagomez's Album Today....... #LikeRightNow,,False,Wed Jun 29 02:57:35 +0000 2011,1198,85904717498163201
54,Twitter Web Client,#WHATSSLEEPTOAGOBLIN,,False,Sat Mar 12 11:35:23 +0000 2011,290,46534750046912512
55,Twitter Web Client,let the games begin #7bars,,False,Fri Mar 11 00:11:28 +0000 2011,253,46000248795045888
384,Twitter for iPhone,I Love All Of You...,,False,Fri Oct 28 18:49:57 +0000 2011,1451,129993321895571458
115,Twitter Web Client,I want to say thank you to my fans i love you guys so much #7bars,,False,Thu Mar 10 10:50:36 +0000 2011,559,45798705156202496
60,Twitter Web Client,#QuickHack Cuz He's Right Next To Me Courtesy Of @ImNotMoises,,False,Sat Aug 13 06:36:10 +0000 2011,137,102267180418220032
298,Twitter Web Client,One In A Million #Babygirl,,False,Tue Jan 17 01:26:28 +0000 2012,1005,159084135284097024
40,Twitter Web Client,Everybody Follow My Big Bro @TreySmith Right Now The First 20 That Do Get A Follow GoGoGo! #SmithSwag,,False,Tue Oct 11 22:58:06 +0000 2011,148,123895175754948608
